,density,pH,chlorides,pH,quality
549,0.9975,3.27,0.171,3.27,6
550,0.9958,3.33,0.074,3.33,6
551,0.998,3.19,0.092,3.19,6
552,0.998,3.12,0.092,3.12,6
553,0.9934,3.74,0.05,3.74,5
554,1.00315,2.92,0.095,2.92,5
555,1.00315,2.92,0.095,2.92,5
556,1.0002,3.07,0.118,3.07,6
557,1.00315,2.92,0.095,2.92,5
558,1.0002,3.07,0.118,3.07,6
559,1.0021,3.3,0.085,3.3,6
560,0.9994,3.14,0.075,3.14,5
561,0.9978,3.23,0.078,3.23,5
562,0.9982,3.08,0.094,3.08,5
563,0.9971,3.31,0.092,3.31,6
564,1.0021,3.3,0.085,3.3,6
565,0.9994,3.14,0.075,3.14,5
566,0.9991,3.32,0.226,3.32,6
567,0.9991,3.32,0.226,3.32,6
568,0.999,3.31,0.25,3.31,6
569,0.9946,3.57,0.095,3.57,6
570,1.0003,3.32,0.07,3.32,6
571,0.9946,3.57,0.095,3.57,6
572,0.9978,3.14,0.075,3.14,5
573,0.9991,3.3,0.07,3.3,4
574,0.9992,3.19,0.078,3.19,6
575,0.9993,3.2,0.079,3.2,6
576,0.9978,3.34,0.103,3.34,4
577,0.9982,3.3,0.083,3.3,5
578,0.9982,3.29,0.085,3.29,5
579,0.9976,3.14,0.063,3.14,6
580,1.0002,3.19,0.089,3.19,5
581,1.0002,3.19,0.089,3.19,5
582,1.0,3.19,0.083,3.19,5
583,0.9976,2.98,0.074,2.98,7
584,1.0002,3.3,0.093,3.3,7
585,0.998,3.47,0.091,3.47,6
586,0.9986,3.12,0.094,3.12,7
587,0.9967,3.26,0.108,3.26,5
588,0.9917,3.72,0.06,3.72,8
589,0.9976,3.05,0.059,3.05,7
590,0.9987,3.35,0.084,3.35,5
591,0.9922,3.12,0.07,3.12,6
592,0.9987,3.35,0.084,3.35,5
593,1.0004,3.29,0.094,3.29,5
594,0.9978,3.4,0.096,3.4,5
595,0.9998,3.27,0.086,3.27,5
596,0.9994,3.04,0.059,3.04,6
597,0.998,3.09,0.071,3.09,6
598,0.9967,3.2,0.078,3.2,6
599,1.0,3.0,0.0819999999999999,3.0,6
600,0.9962,3.26,0.088,3.26,4
601,1.0006,3.1,0.071,3.1,6
602,0.9975,3.3,0.081,3.3,5
603,1.0006,3.1,0.071,3.1,6
604,0.9984,3.17,0.096,3.17,6
605,0.9984,3.31,0.085,3.31,6
606,0.9973,3.34,0.072,3.34,7
607,0.9982,3.31,0.092,3.31,6
608,1.0026,3.32,0.11,3.32,6
609,0.9956,3.56,0.075,3.56,6
610,0.9983,3.39,0.083,3.39,5
611,1.0006,2.98,0.081,2.98,5
612,0.9965,3.32,0.077,3.32,6
613,0.9962,3.26,0.0579999999999999,3.26,5
614,0.9969,2.87,0.148,2.87,6
615,0.9997,3.5,0.079,3.5,5
616,0.9997,3.5,0.079,3.5,5
617,0.9982,3.03,0.079,3.03,6
618,1.0006,3.13,0.122,3.13,5
619,0.9988,3.09,0.088,3.09,5
620,0.9976,3.27,0.076,3.27,5
621,0.9976,3.28,0.078,3.28,5
622,0.9974,3.13,0.08,3.13,5
623,0.9974,3.49,0.077,3.49,6
624,0.9997,3.46,0.124,3.46,5
625,0.9997,3.46,0.124,3.46,5
626,0.9988,3.36,0.098,3.36,5
627,0.9988,3.36,0.098,3.36,5
628,0.9976,3.27,0.0969999999999999,3.27,6
629,0.9964,3.21,0.111,3.21,5
630,0.9976,3.27,0.0969999999999999,3.27,6
631,0.9988,3.25,0.105,3.25,5
632,0.9964,3.32,0.087,3.32,6
633,1.001,3.43,0.105,3.43,4
634,0.9964,3.27,0.073,3.27,5
635,0.9954,3.27,0.065,3.27,5
636,0.9979,3.24,0.086,3.24,5
637,0.9978,3.24,0.084,3.24,5
638,0.9964,3.35,0.143,3.35,7
639,0.997,3.18,0.067,3.18,6
640,0.9991,3.39,0.071,3.39,5
641,0.9992,3.46,0.071,3.46,5
642,0.9991,3.39,0.071,3.39,5
643,0.9992,3.46,0.071,3.46,5
644,0.9991,3.39,0.071,3.39,5
645,0.9984,3.37,0.115,3.37,7
646,0.9972,3.4,0.107,3.4,5
647,0.9967,3.32,0.07,3.32,4
648,0.9964,3.33,0.066,3.33,7
649,0.9948,3.16,0.068,3.16,6
650,0.9986,2.89,0.106,2.89,5
651,1.001,3.41,0.104,3.41,5
652,0.9976,2.98,0.096,2.98,5
653,0.9976,3.12,0.079,3.12,6
654,0.9979,3.08,0.074,3.08,5
655,1.0004,3.14,0.087,3.14,5
656,0.9986,2.89,0.106,2.89,5
657,0.998,2.92,0.073,2.92,7
658,0.9973,3.32,0.074,3.32,6
659,0.997,3.41,0.096,3.41,4
660,0.9973,3.32,0.074,3.32,6
661,0.9978,3.31,0.08,3.31,5
662,0.9972,3.36,0.076,3.36,6
663,0.9974,3.04,0.05,3.04,6
664,1.0,3.03,0.092,3.03,5
665,0.9981,3.14,0.084,3.14,5
666,0.998,3.18,0.222,3.18,6
667,0.9988,2.94,0.0819999999999999,2.94,6
668,0.9966,3.15,0.059,3.15,5
669,0.9988,2.94,0.0819999999999999,2.94,6
670,0.9959,3.26,0.083,3.26,5
671,0.9968,3.2,0.074,3.2,5
672,0.998,3.15,0.079,3.15,5
673,0.9968,3.2,0.074,3.2,5
674,0.9984,3.08,0.084,3.08,6
675,0.9984,3.26,0.064,3.26,5
676,0.9984,3.08,0.084,3.08,6
677,0.9979,3.4,0.084,3.4,5
678,0.9983,3.48,0.081,3.48,5
679,0.9972,3.13,0.06,3.13,5
680,1.0004,3.06,0.07,3.06,5
681,0.9962,3.21,0.094,3.21,6
682,0.998,3.33,0.078,3.33,5
683,0.997,3.37,0.059,3.37,5
684,0.998,3.25,0.078,3.25,5
685,0.997,3.37,0.059,3.37,5
686,0.997,3.44,0.07,3.44,5
687,0.9998,3.28,0.095,3.28,5
688,0.9962,3.4,0.039,3.4,5
689,0.9976,3.3,0.157,3.3,5
690,0.9966,3.63,0.0969999999999999,3.63,3
691,0.9998,3.48,0.087,3.48,5
692,0.9979,3.03,0.422,3.03,5
693,0.9984,3.32,0.084,3.32,5
694,0.9984,3.31,0.084,3.31,5
695,0.9921,3.9,0.034,3.9,6
696,0.9972,3.47,0.066,3.47,6
697,0.9972,3.47,0.066,3.47,6
698,1.0001,3.31,0.087,3.31,5
699,0.9986,3.11,0.071,3.11,6
700,0.9984,3.08,0.076,3.08,6
701,0.9972,3.47,0.066,3.47,6
702,0.997,3.47,0.067,3.47,6
703,0.9972,3.32,0.073,3.32,4
704,0.998,3.29,0.078,3.29,4
705,0.999,3.37,0.073,3.37,5
706,0.9956,3.4,0.093,3.4,5
707,0.9966,3.37,0.077,3.37,5
708,0.996,3.34,0.068,3.34,6
709,0.9983,3.27,0.062,3.27,6
710,0.9985,3.06,0.08,3.06,5
711,0.9998,3.38,0.093,3.38,5
712,0.9992,3.36,0.084,3.36,5
713,0.9976,3.34,0.075,3.34,5
714,0.998,3.28,0.078,3.28,5
715,0.9967,3.29,0.069,3.29,6
716,0.9976,3.34,0.075,3.34,5
717,0.9968,3.21,0.079,3.21,5
718,0.9976,3.22,0.0819999999999999,3.22,5
719,0.9976,3.46,0.086,3.46,5
720,0.9976,3.22,0.0819999999999999,3.22,5
721,0.9982,3.1,0.094,3.1,5
722,0.9968,3.21,0.084,3.21,5
723,0.9965,2.94,0.053,2.94,5
724,0.9958,3.54,0.086,3.54,4
725,0.9976,3.29,0.077,3.29,5
726,0.9994,3.43,0.084,3.43,6
727,0.997,3.46,0.067,3.46,5
728,0.997,3.46,0.067,3.46,5
729,0.995,3.61,0.071,3.61,6
730,0.9982,3.17,0.387,3.17,5
731,0.9994,3.44,0.088,3.44,5
732,0.9966,3.39,0.092,3.39,5
733,0.998,3.55,0.0819999999999999,3.55,5
734,0.9987,3.48,0.075,3.48,5
735,0.9963,3.26,0.1119999999999999,3.26,5
736,0.9963,3.26,0.1119999999999999,3.26,5
737,1.0002,3.5,0.093,3.5,6
738,0.9983,3.1,0.092,3.1,5
739,0.999,3.35,0.088,3.35,5
740,0.9965,3.45,0.075,3.45,6
741,0.99788,3.21,0.078,3.21,5
742,0.9972,3.46,0.065,3.46,5
743,1.00024,3.13,0.096,3.13,5
744,1.0001,3.13,0.095,3.13,5
745,0.99768,3.52,0.07,3.52,6
746,0.9978,3.3,0.08,3.3,6
747,0.99782,3.3,0.083,3.3,5
748,0.99761,3.52,0.071,3.52,6
749,0.99768,3.52,0.07,3.52,6
750,0.99803,3.29,0.089,3.29,5
751,0.99803,3.29,0.089,3.29,5
752,0.99785,3.39,0.0969999999999999,3.39,5
753,0.99803,3.29,0.089,3.29,5
754,0.99656,3.09,0.415,3.09,6
755,0.99525,3.51,0.0579999999999999,3.51,6
756,0.99488,3.6,0.057,3.6,6
757,0.99656,3.25,0.084,3.25,5
758,0.99656,3.25,0.084,3.25,5
759,0.99823,3.19,0.092,3.19,5
760,0.99779,3.23,0.075,3.23,5
761,0.99738,3.25,0.096,3.25,5
762,0.99701,3.31,0.069,3.31,6
763,0.99738,3.25,0.096,3.25,5
764,0.99888,3.31,0.093,3.31,6
765,0.99888,3.31,0.091,3.31,6
766,0.99738,3.14,0.089,3.14,5
767,0.99938,3.45,0.103,3.45,5
768,0.99744,3.55,0.0819999999999999,3.55,6
769,0.99668,3.39,0.076,3.39,5
770,0.99744,3.55,0.0819999999999999,3.55,6
771,0.9978,3.28,0.0819999999999999,3.28,5
772,0.99782,3.27,0.0819999999999999,3.27,5
773,0.9973,3.3,0.157,3.3,6
774,0.99727,3.31,0.157,3.31,6
775,0.99586,3.43,0.102,3.43,5
776,0.99612,3.4,0.243,3.4,6
777,0.9961,3.4,0.241,3.4,6
778,0.99788,3.36,0.079,3.36,5
779,0.99745,3.5,0.076,3.5,5
780,0.99676,3.31,0.19,3.31,6
781,0.99732,3.66,0.114,3.66,5
782,0.99814,3.36,0.081,3.36,5
783,0.99732,3.66,0.114,3.66,5
784,0.99746,3.55,0.077,3.55,5
785,0.9982,3.21,0.083,3.21,5
786,0.9982,3.21,0.083,3.21,5
787,0.9991,3.18,0.079,3.18,6
788,0.9991,3.18,0.079,3.18,6
789,0.998,3.09,0.099,3.09,5
790,0.99708,3.33,0.0819999999999999,3.33,6
791,0.99818,3.23,0.084,3.23,5
792,0.99745,3.48,0.081,3.48,6
793,0.99639,3.38,0.055,3.38,5
794,0.99531,3.17,0.065,3.17,6
795,0.99786,2.99,0.132,2.99,5
796,0.99746,3.1,0.126,3.1,5
797,0.99526,3.24,0.038,3.24,7
798,0.9987,3.29,0.0819999999999999,3.29,6
799,0.9987,3.29,0.0819999999999999,3.29,6
800,0.99641,3.25,0.0819999999999999,3.25,5
801,0.99735,3.23,0.068,3.23,5
802,0.99264,3.56,0.044,3.56,7
803,0.9971,3.24,0.114,3.24,6
804,0.99682,3.26,0.084,3.26,6
805,0.99356,3.33,0.052,3.33,7
806,0.99386,3.27,0.0409999999999999,3.27,7
807,0.99356,3.33,0.052,3.33,7
808,0.99702,3.26,0.165,3.26,5
809,0.99693,3.22,0.07,3.22,6
810,0.99562,3.3,0.068,3.3,5
811,1.00012,3.09,0.072,3.09,6
812,0.99818,3.24,0.099,3.24,5
813,0.99462,3.44,0.102,3.44,4
814,0.99939,3.21,0.103,3.21,6
815,0.99818,3.24,0.099,3.24,5
816,0.9984,3.23,0.081,3.23,6
817,0.99545,3.28,0.084,3.28,6
818,0.99632,3.29,0.071,3.29,5
819,0.99976,3.28,0.0969999999999999,3.28,5
820,0.99606,3.34,0.099,3.34,5
821,0.99154,3.71,0.048,3.71,7
822,0.9973,3.61,0.076,3.61,5
823,0.9973,3.61,0.076,3.61,5
824,0.99682,3.24,0.068,3.24,5
825,0.99624,3.36,0.076,3.36,5
826,0.9951,3.4,0.05,3.4,7
827,0.99624,3.36,0.076,3.36,5
828,0.99417,3.46,0.065,3.46,8
829,0.99376,3.56,0.071,3.56,6
830,0.99632,3.38,0.0579999999999999,3.38,4
831,0.99376,3.56,0.071,3.56,6
832,0.99832,3.38,0.145,3.38,3
833,0.99836,3.38,0.147,3.38,4
834,0.99694,3.32,0.088,3.32,5
835,0.99655,3.39,0.066,3.39,5
836,0.99064,3.26,0.012,3.26,7
837,0.99064,3.26,0.012,3.26,7
838,0.99672,3.24,0.075,3.24,7
839,0.99647,3.46,0.092,3.46,5
840,0.99736,3.24,0.085,3.24,7
841,0.99629,3.45,0.115,3.45,5
842,0.99708,3.23,0.119,3.23,6
843,0.9963,3.28,0.088,3.28,5
844,0.9959,3.18,0.062,3.18,6
845,0.99689,3.59,0.081,3.59,5
846,0.99689,3.59,0.081,3.59,5
847,0.9977,3.5,0.078,3.5,6
848,0.99689,3.59,0.081,3.59,5
849,0.99689,3.58,0.08,3.58,5
850,0.99708,3.28,0.085,3.28,5
851,0.99708,3.28,0.085,3.28,5
852,0.99801,3.22,0.08,3.22,5
853,0.99652,3.47,0.08,3.47,6
854,0.99652,3.47,0.08,3.47,6
855,0.99538,3.51,0.071,3.51,7
856,0.99652,3.47,0.08,3.47,6
857,0.99594,3.4,0.073,3.4,7
858,0.99686,3.15,0.054,3.15,7
859,0.99438,3.4,0.074,3.4,6
860,0.99746,3.51,0.077,3.51,5
861,0.99357,3.66,0.039,3.66,6
862,0.99628,3.24,0.067,3.24,5
863,0.99746,3.51,0.078,3.51,5
864,0.99746,3.51,0.077,3.51,5
865,0.99748,3.51,0.077,3.51,5
866,0.99438,3.41,0.071,3.41,6
867,0.99438,3.4,0.072,3.4,6
868,0.99438,3.4,0.074,3.4,6
869,0.99578,3.44,0.08,3.44,6
870,0.99371,3.41,0.064,3.41,6
871,0.99522,3.53,0.086,3.53,5
872,0.99576,3.43,0.067,3.43,4
873,0.99552,3.23,0.067,3.23,7
874,0.99664,3.12,0.104,3.12,7
875,0.99614,3.31,0.109,3.31,7
876,0.99517,3.4,0.067,3.4,4
877,0.99371,3.41,0.064,3.41,6
878,0.99787,3.22,0.094,3.22,6
879,0.99745,3.53,0.076,3.53,5
880,0.99576,3.15,0.078,3.15,5
881,0.99533,3.48,0.068,3.48,6
882,0.99536,3.22,0.1939999999999999,3.22,6
883,0.99745,3.53,0.076,3.53,5
884,0.99787,3.22,0.094,3.22,6
885,0.99824,3.34,0.086,3.34,5
886,0.99836,3.33,0.083,3.33,6
887,0.99577,3.15,0.066,3.15,7
888,0.99491,3.43,0.072,3.43,6
889,1.00289,3.22,0.1119999999999999,3.22,5
890,0.99576,3.44,0.071,3.44,5
891,0.99743,3.53,0.078,3.53,5
892,0.99774,3.22,0.0819999999999999,3.22,6
893,0.99743,3.53,0.078,3.53,5
894,0.99745,3.53,0.08,3.53,6
895,0.9955,3.42,0.08,3.42,6
896,0.99444,3.31,0.078,3.31,7
897,0.9955,3.42,0.08,3.42,6
898,0.99444,3.31,0.078,3.31,7
899,0.99892,3.48,0.084,3.48,3
900,0.99562,3.4,0.0559999999999999,3.4,5
901,0.99736,3.58,0.08,3.58,7
902,0.99736,3.58,0.08,3.58,7
903,0.9962,3.41,0.06,3.41,7
904,0.9962,3.41,0.06,3.41,7
905,0.998,3.23,0.081,3.23,5
906,0.9964,3.39,0.084,3.39,5
907,0.9948,3.59,0.079,3.59,6
908,0.99528,3.43,0.078,3.43,6
909,0.99331,3.29,0.059,3.29,6
910,0.99577,3.23,0.132,3.23,6
911,0.99901,3.18,0.114,3.18,6
912,0.99674,3.33,0.065,3.33,6
913,0.99639,3.27,0.094,3.27,7
914,0.99331,3.29,0.059,3.29,6
915,0.99512,3.27,0.079,3.27,6
916,0.99395,3.62,0.161,3.62,5
917,0.99824,3.38,0.084,3.38,6
918,0.9964,3.3,0.081,3.3,6
919,0.99504,3.38,0.072,3.38,6
920,0.99786,3.24,0.091,3.24,5
921,0.9964,3.3,0.081,3.3,6
922,0.99504,3.38,0.072,3.38,6
923,0.99824,3.38,0.084,3.38,6
924,0.99516,3.18,0.055,3.18,5
925,0.99604,3.47,0.064,3.47,7
926,0.99786,3.47,0.061,3.47,6
927,0.99736,3.2,0.093,3.2,4
928,0.99516,3.18,0.055,3.18,5
929,0.99468,3.3,0.063,3.3,7
930,0.99746,3.69,0.08,3.69,5
931,0.99748,3.48,0.074,3.48,5
932,0.9971,3.45,0.078,3.45,6
933,0.99748,3.48,0.074,3.48,5
934,0.99746,3.69,0.08,3.69,5
935,0.99543,3.39,0.06,3.39,6
936,0.99543,3.39,0.06,3.39,6
937,0.99791,3.07,0.071,3.07,4
938,0.99356,3.34,0.068,3.34,7
939,0.99425,3.61,0.073,3.61,5
940,0.99509,3.36,0.074,3.36,7
941,0.99484,3.19,0.0819999999999999,3.19,7
942,0.99834,3.22,0.092,3.22,7
943,0.99864,3.24,0.094,3.24,7
944,0.99498,3.27,0.09,3.27,7
945,0.99566,3.14,0.071,3.14,7
946,0.99745,3.29,0.092,3.29,7
947,0.99408,3.26,0.093,3.26,7
948,0.99552,3.41,0.075,3.41,7
949,0.99552,3.41,0.075,3.41,7
950,0.99552,3.41,0.075,3.41,7
951,0.99408,3.26,0.093,3.26,7
952,0.99536,3.31,0.0579999999999999,3.31,7
953,0.99458,3.2,0.052,3.2,7
954,0.99538,3.44,0.0819999999999999,3.44,6
955,0.99648,3.36,0.09,3.36,5
956,0.99568,3.31,0.111,3.31,6
957,0.99613,3.29,0.088,3.29,6
958,0.99519,3.47,0.12,3.47,7
959,0.99735,3.36,0.089,3.36,5
960,0.99518,3.16,0.0579999999999999,3.16,6
961,0.99592,3.27,0.078,3.27,5
962,0.99654,3.38,0.115,3.38,5
963,0.99546,3.15,0.1,3.15,6
964,0.99518,3.16,0.0579999999999999,3.16,6
965,0.99554,3.34,0.065,3.34,6
966,0.99604,3.13,0.103,3.13,7
967,0.99733,3.13,0.0969999999999999,3.13,5
968,0.9943,3.2,0.068,3.2,6
969,0.99669,3.46,0.079,3.46,5
970,0.99724,3.33,0.066,3.33,6
971,0.99724,3.33,0.066,3.33,6
972,0.99643,3.22,0.104,3.22,7
973,0.99605,3.52,0.079,3.52,5
974,0.99658,3.3,0.073,3.3,7
975,0.997,3.44,0.083,3.44,5
976,0.997,3.44,0.083,3.44,5
977,0.99801,3.15,0.109,3.15,5
978,0.99416,3.28,0.061,3.28,7
979,0.9969,3.13,0.075,3.13,5
980,0.99774,3.32,0.065,3.32,6
981,0.99712,3.25,0.079,3.25,5
982,0.99418,3.34,0.07,3.34,6
983,0.99774,3.32,0.065,3.32,6
984,0.9969,3.13,0.075,3.13,5
985,0.99562,3.45,0.064,3.45,6
986,0.9947,3.19,0.066,3.19,7
987,0.99693,3.44,0.08,3.44,5
988,0.99596,3.16,0.0969999999999999,3.16,5
989,0.99556,3.14,0.073,3.14,6
990,0.99596,3.16,0.0969999999999999,3.16,5
991,0.99694,3.45,0.0819999999999999,3.45,5
992,0.99554,3.36,0.076,3.36,6
993,0.99694,3.45,0.0819999999999999,3.45,5
994,0.99918,3.15,0.092,3.15,5
995,0.99697,3.39,0.079,3.39,6
996,0.99378,3.71,0.087,3.71,7
997,0.99378,3.71,0.087,3.71,7
998,0.99554,3.12,0.05,3.12,6
999,0.99162,3.47,0.055,3.47,6
1000,0.99495,3.44,0.062,3.44,7
1001,0.99676,3.26,0.0579999999999999,3.26,7
1002,0.99516,3.26,0.063,3.26,7
1003,0.9928,3.36,0.067,3.36,7
1004,0.99603,3.25,0.081,3.25,5
1005,0.9928,3.36,0.067,3.36,7
1006,0.99516,3.26,0.063,3.26,7
1007,0.99516,3.26,0.064,3.26,7
1008,0.99549,3.23,0.11,3.23,7
1009,0.99722,3.18,0.1159999999999999,3.18,5
1010,0.99354,3.25,0.067,3.25,7
1011,0.9957,3.17,0.088,3.17,6
1012,0.99604,3.23,0.102,3.23,5
1013,0.99635,3.38,0.092,3.38,6
1014,0.99454,3.22,0.12,3.22,6
1015,0.99598,3.06,0.075,3.06,6
1016,0.99486,3.27,0.068,3.27,7
1017,0.99007,2.89,0.049,2.89,6
1018,0.99007,2.89,0.049,2.89,6
1019,0.99636,3.53,0.078,3.53,5
1020,0.99642,3.2,0.123,3.2,6
1021,0.99642,3.2,0.123,3.2,6
1022,0.99584,3.35,0.062,3.35,5
1023,0.99506,3.27,0.098,3.27,6
1024,0.99568,3.32,0.088,3.32,7
1025,0.99822,3.33,0.095,3.33,6
1026,0.99364,3.41,0.066,3.41,6
1027,0.99378,3.49,0.065,3.49,5
1028,0.99586,3.37,0.075,3.37,6
1029,0.99568,3.32,0.088,3.32,7
1030,0.99488,3.42,0.091,3.42,7
1031,0.99514,3.35,0.093,3.35,7
1032,0.99854,3.36,0.095,3.36,5
1033,0.99592,3.3,0.089,3.3,6
1034,0.99739,3.2,0.077,3.2,6
1035,0.99683,3.17,0.085,3.17,7
1036,0.99356,3.22,0.0819999999999999,3.22,7
1037,0.99672,3.35,0.074,3.35,5
1038,0.9953,3.24,0.078,3.24,7
1039,0.99692,3.33,0.088,3.33,6
1040,0.99756,3.58,0.088,3.58,5
1041,0.99547,3.38,0.079,3.38,6
1042,0.99692,3.33,0.088,3.33,6
1043,0.99859,3.29,0.069,3.29,7
1044,0.99294,3.36,0.046,3.36,6
1045,0.99438,3.32,0.07,3.32,6
1046,0.99612,3.31,0.076,3.31,6
1047,0.99634,3.49,0.0819999999999999,3.49,5
1048,0.99702,3.27,0.081,3.27,6
1049,0.99704,3.27,0.084,3.27,6
1050,0.99634,3.49,0.0819999999999999,3.49,5
1051,0.99702,3.03,0.414,3.03,5
1052,0.99258,3.56,0.073,3.56,5
1053,0.99426,3.38,0.07,3.38,7
1054,0.99747,3.13,0.095,3.13,6
1055,0.99747,3.13,0.095,3.13,6
1056,0.99586,3.21,0.1009999999999999,3.21,7
1057,0.99784,3.15,0.104,3.15,5
1058,0.9971,3.19,0.093,3.19,7
1059,0.99586,3.21,0.1009999999999999,3.21,7
1060,0.9981,3.14,0.074,3.14,6
1061,0.99462,3.21,0.071,3.21,8
1062,0.9956,3.3,0.098,3.3,6
1063,0.99565,3.22,0.075,3.22,6
1064,0.99418,3.28,0.067,3.28,6
1065,0.9963,3.29,0.083,3.29,6
1066,0.99358,3.4,0.07,3.4,7
1067,0.99572,3.02,0.06,3.02,7
1068,0.99572,3.02,0.06,3.02,7
1069,0.997,3.31,0.086,3.31,5
1070,0.99498,3.18,0.057,3.18,7
1071,0.99892,3.2,0.098,3.2,5
1072,0.9968,3.4,0.083,3.4,6
1073,0.9972,3.31,0.088,3.31,6
1074,0.99892,3.2,0.098,3.2,5
1075,0.99769,3.44,0.071,3.44,7
1076,0.99534,3.15,0.073,3.15,6
1077,0.99817,3.27,0.08,3.27,5
1078,0.99817,3.27,0.08,3.27,5
